

=== Average Performance per Rule (across all instances) ===
Rule   : AvgMS  , AvgTWT  , AvgIdle, AvgWait, AvgT (s)
SPT    : 0.00   , 0.00    , 0.00   , 0.00   , 0.000  
LPT    : 0.00   , 0.00    , 0.00   , 0.00   , 0.000  
FIFO   : 0.00   , 0.00    , 0.00   , 0.00   , 0.000  
LIFO   : 0.00   , 0.00    , 0.00   , 0.00   , 0.000  
SRPT   : 0.00   , 0.00    , 0.00   , 0.00   , 0.000  
OPR    : 0.00   , 0.00    , 0.00   , 0.00   , 0.000  
ECT    : 0.00   , 0.00    , 0.00   , 0.00   , 0.000  
LLM    : 0.00   , 0.00    , 0.00   , 0.00   , 0.000  
Random : 0.00   , 0.00    , 0.00   , 0.00   , 0.000  
EDD    : 0.00   , 0.00    , 0.00   , 0.00   , 0.000  
MST    : 0.00   , 0.00    , 0.00   , 0.00   , 0.000  
GPISRule1: 0.00   , 0.00    , 0.00   , 0.00   , 0.000  
GPISRule2: 0.00   , 0.00    , 0.00   , 0.00   , 0.000  
GPISRule3: 0.00   , 0.00    , 0.00   , 0.00   , 0.000  
GPISRule4: 0.00   , 0.00    , 0.00   , 0.00   , 0.000  
GPISRule5: 0.00   , 0.00    , 0.00   , 0.00   , 0.000  
GPISRule6: 0.00   , 0.00    , 0.00   , 0.00   , 0.000  
