
=== INSTANCE: test_small_flex_events_0_util0.75_ec0.08_nm6_v0.json (Machines: 6, Total Jobs Defined: 10) ===
  SPT     => MS=956.00 , TWT=572.00  , IdleAvg=319.00, WaitAvg=214.33, T=0.224s
  LPT     => MS=1054.00, TWT=2270.00 , IdleAvg=392.00, WaitAvg=277.11, T=0.223s
  FIFO    => MS=913.00 , TWT=236.00  , IdleAvg=321.50, WaitAvg=178.56, T=0.223s
  LIFO    => MS=1027.00, TWT=2188.00 , IdleAvg=419.33, WaitAvg=274.78, T=0.223s
  SRPT    => MS=1020.00, TWT=318.00  , IdleAvg=405.50, WaitAvg=214.78, T=0.223s
  OPR     => MS=1020.00, TWT=458.00  , IdleAvg=423.83, WaitAvg=211.44, T=0.224s
  ECT     => MS=902.00 , TWT=90.00   , IdleAvg=330.33, WaitAvg=171.22, T=0.224s
  LLM     => MS=913.00 , TWT=236.00  , IdleAvg=321.50, WaitAvg=178.56, T=0.224s
  Random  => MS=886.00 , TWT=656.00  , IdleAvg=289.33, WaitAvg=195.44, T=0.224s
  EDD     => MS=1020.00, TWT=216.00  , IdleAvg=407.83, WaitAvg=178.11, T=0.224s
  MST     => MS=888.00 , TWT=654.00  , IdleAvg=291.17, WaitAvg=187.11, T=0.224s
  GPISRule1 => MS=1020.00, TWT=264.00  , IdleAvg=401.33, WaitAvg=194.22, T=0.223s
  GPISRule2 => MS=863.00 , TWT=164.00  , IdleAvg=262.00, WaitAvg=224.33, T=0.225s
  GPISRule3 => MS=888.00 , TWT=654.00  , IdleAvg=291.17, WaitAvg=187.11, T=0.225s
  GPISRule4 => MS=888.00 , TWT=654.00  , IdleAvg=291.17, WaitAvg=187.11, T=0.224s
  GPISRule5 => MS=913.00 , TWT=1414.00 , IdleAvg=282.67, WaitAvg=215.78, T=0.224s

=== INSTANCE: test_small_flex_events_1_util0.75_ec0.08_nm10_v0.json (Machines: 10, Total Jobs Defined: 10) ===
  SPT     => MS=701.00 , TWT=2.00    , IdleAvg=313.10, WaitAvg=143.56, T=0.365s
  LPT     => MS=777.00 , TWT=142.00  , IdleAvg=356.30, WaitAvg=144.78, T=0.364s
  FIFO    => MS=735.00 , TWT=0.00    , IdleAvg=319.80, WaitAvg=114.78, T=0.365s
  LIFO    => MS=735.00 , TWT=0.00    , IdleAvg=319.80, WaitAvg=114.78, T=0.364s
  SRPT    => MS=880.00 , TWT=44.00   , IdleAvg=475.20, WaitAvg=133.00, T=0.365s
  OPR     => MS=742.00 , TWT=0.00    , IdleAvg=343.40, WaitAvg=125.78, T=0.365s
  ECT     => MS=754.00 , TWT=29.00   , IdleAvg=352.50, WaitAvg=122.89, T=0.364s
  LLM     => MS=735.00 , TWT=0.00    , IdleAvg=319.80, WaitAvg=114.78, T=0.363s
  Random  => MS=880.00 , TWT=0.00    , IdleAvg=476.30, WaitAvg=124.22, T=0.366s
  EDD     => MS=754.00 , TWT=29.00   , IdleAvg=352.50, WaitAvg=122.89, T=0.362s
  MST     => MS=754.00 , TWT=29.00   , IdleAvg=352.50, WaitAvg=122.89, T=0.366s
  GPISRule1 => MS=708.00 , TWT=0.00    , IdleAvg=303.80, WaitAvg=98.89 , T=0.368s
  GPISRule2 => MS=813.00 , TWT=196.00  , IdleAvg=397.50, WaitAvg=143.56, T=0.366s
  GPISRule3 => MS=754.00 , TWT=29.00   , IdleAvg=352.50, WaitAvg=122.89, T=0.366s
  GPISRule4 => MS=754.00 , TWT=29.00   , IdleAvg=352.50, WaitAvg=122.89, T=0.363s
  GPISRule5 => MS=846.00 , TWT=0.00    , IdleAvg=435.70, WaitAvg=134.22, T=0.367s

=== INSTANCE: test_small_flex_events_2_util0.75_ec0.15_nm6_v0.json (Machines: 6, Total Jobs Defined: 10) ===
  SPT     => MS=1097.00, TWT=860.00  , IdleAvg=492.17, WaitAvg=296.00, T=0.223s
  LPT     => MS=1123.00, TWT=652.00  , IdleAvg=361.17, WaitAvg=352.78, T=0.221s
  FIFO    => MS=944.00 , TWT=128.00  , IdleAvg=264.00, WaitAvg=282.89, T=0.222s
  LIFO    => MS=1004.00, TWT=732.00  , IdleAvg=296.33, WaitAvg=278.44, T=0.220s
  SRPT    => MS=1203.00, TWT=1590.00 , IdleAvg=563.67, WaitAvg=273.67, T=0.221s
  OPR     => MS=1088.00, TWT=468.00  , IdleAvg=421.17, WaitAvg=244.67, T=0.221s
  ECT     => MS=1203.00, TWT=1514.00 , IdleAvg=544.33, WaitAvg=271.11, T=0.221s
  LLM     => MS=944.00 , TWT=128.00  , IdleAvg=264.00, WaitAvg=282.89, T=0.222s
  Random  => MS=925.00 , TWT=650.00  , IdleAvg=231.83, WaitAvg=337.67, T=0.221s
